source_path,classification,reason,risk,planned_action,destination,verification,history_preservation
".git history","KEEP","Canonical provenance and rollback foundation","History rewrite would destroy recovery","Retain unchanged and reference annotated baseline tag",".git history","tag target and main ref checks","tag plus Git history"
"package.json; package-lock.json","ADAPT","Usable npm/Next baseline but identity dependencies and scripts are incomplete","Vulnerable or dead dependencies and non-deterministic gates","Rename package update compatible patches remove demo 3D/motion dependencies add test and PostgreSQL tooling","package.json; package-lock.json","npm ci; npm audit; full verification","baseline tag"
"node_modules/**","REMOVE","Generated dependencies are incorrectly tracked","Repository bloat and unsafe dependency state","Remove from Git index after audit and retain ignore rule","untracked local install only","git ls-files node_modules returns zero","baseline tag"
"next.config.ts; open-next.config.ts","ADAPT","Minimal framework and OpenNext patterns build","Runtime compatibility can drift","Keep minimal configuration and validate against current adapter","same paths","Next build and OpenNext preview","baseline tag"
"wrangler.jsonc","ADAPT","Valid Worker configuration with legacy identity and stale date","Accidental legacy deployment identity","Rename to non-production BRENYCH preview and refresh verified compatibility settings without routes","wrangler.jsonc","wrangler validation types and local preview","baseline tag"
"src/app root metadata routes","REBUILD","App Router pattern is sound but metadata and routes are legacy-specific","Identity leakage and wrong information architecture","Rebuild root locale sitemap robots OG and not-found surfaces","src/app; src/site/seo","route e2e build and identity scan","baseline tag"
"src/app/[lang]/**","REBUILD","Locale route concept is useful but pages encode legacy IA/content","Keeping old routes would preserve demo product assumptions","Replace with canonical [locale] BRENYCH route skeleton","src/app/[locale]/**","all canonical route smoke tests","baseline tag"
"src/app/api/inquiry/route.ts","REMOVE","No-op endpoint returns success without durable handling and can throw 500","False customer acknowledgement abuse and data loss","Remove until a real BR-scoped inquiry service exists","none in this milestone","route absence and public copy review","baseline tag"
"src/components/ui/**","ADAPT","Small typed presentational primitives are technically reusable","Old visual semantics and dependency on transition layer","Recreate only primitives required by the new shell","src/site/components/**","component tests and visual QA","baseline tag"
"src/components/layout/**","REBUILD","Header/footer concepts exist but menu misses required accessibility behaviors","Keyboard trap scroll and identity defects","Implement a focused BRENYCH shell and accessible menu","src/site/components/SiteHeader.tsx; SiteFooter.tsx","component and Playwright keyboard tests","baseline tag"
"src/components/motion/**","REMOVE","Brand-specific route choreography is unnecessary for foundation","Client complexity and legacy session key","Use restrained CSS transitions with reduced-motion path","src/app/globals.css","reduced-motion e2e and dependency scan","baseline tag"
"src/components/hero/**; src/components/r3f/**; src/lib/webgl/**","REMOVE","Procedural ring scene is demo-specific and not the BR-14 renderer","Runtime cost and legacy product leakage","Remove active renderer and establish manifest/fallback contracts","src/spatial/**","unit fallback test and import/dependency scan","baseline tag"
"src/components/collection; piece; craft; maison; journal; contact; sections","REBUILD","Editorial composition techniques are useful but UI is coupled to invented jewelry content/assets","Legacy content and visual assumptions would survive","Build small honest foundation pages from canonical typed content","src/site/components; src/app/[locale]","route and identity tests plus visual QA","baseline tag"
"src/content/**; src/types/**","REBUILD","Typed site-native pattern is sound but data is House of Lune demo truth","Cannot safely rename demo products into BRENYCH","Replace with BRENYCH content contracts and separate commerce domain","src/site/content; src/modules","unit contract tests","baseline tag"
"src/i18n/**","ADAPT","Locale validation/dictionary separation is sound","Unapproved translations and locale-currency coupling risk","Keep locale concept with English development shell only","src/site/i18n","unsupported locale and content tests","baseline tag"
"src/lib/design/**; src/app/globals.css","ADAPT","Dark token direction focus and reduced-motion CSS are useful","Legacy luxury/moon naming and duplicated token authority","Create canonical BRENYCH tokens and simplified responsive CSS","src/brand/tokens.ts; src/app/globals.css","visual QA contrast focus reduced-motion tests","baseline tag"
"src/lib/seo/**","ADAPT","Central metadata canonical and alternate pattern is useful","Legacy URL brand keywords and index policy","Replace with validated environment and BRENYCH metadata helpers","src/site/seo","metadata route and identity tests","baseline tag"
"public/media/**; public/og/**; boilerplate SVGs; legacy favicons","REMOVE","Assets depict invented House of Lune products or framework boilerplate","Public identity leakage and 43 MB payload","Remove after screenshot/audit capture; use generated BRENYCH OG and CSS fallback","src/app/opengraph-image.tsx; public/favicon.svg","public scan build and screenshots","baseline tag"
"tests/**","NEW","No automated tests exist","Regressions and unverifiable gates","Add unit integration e2e accessibility and concurrency suites","tests/**","all test scripts","not applicable"
"src/modules/**","NEW","No commerce domain exists","Cannot safely add providers or checkout without truth model","Create framework-independent bounded domain contracts","src/modules/**","unit state/value tests and import rules","not applicable"
"database/**; src/platform/db/**; compose.yaml","NEW","No transactional persistence exists","Critical invariants cannot be enforced","Add PostgreSQL 17.11 schema migrations services and real DB tests","database; src/platform/db; compose.yaml","migration schema and concurrency tests","not applicable"
"src/platform/events; idempotency; audit","NEW","No reliable mutation/event primitives exist","Duplicate effects lost events and unaudited changes","Add outbox durable idempotency and append-only audit primitives","src/platform/**","integration atomicity replay and immutability tests","not applicable"

